ts_ms,received_ts_ms,window_slug,outcome,tick_type,price,size,side,best_bid,best_ask,timestamp
1774224006774,1774224006880,btc-updown-15m-1774223100,Down,book,,,,0.999,,2026-03-23 00:00:06.774
1774224006840,1774224006920,btc-updown-15m-1774223100,Down,trade,0.999,111.63,,0.999,,2026-03-23 00:00:06.840
1774224081304,1774224081372,btc-updown-15m-1774223100,Down,book,,,,0.999,,2026-03-23 00:01:21.304
1774224081369,1774224081436,btc-updown-15m-1774223100,Down,trade,0.999,89.6,,0.999,,2026-03-23 00:01:21.369
1774224122561,1774224122655,btc-updown-15m-1774223100,Down,book,,,,0.999,,2026-03-23 00:02:02.561
1774224122597,1774224122678,btc-updown-15m-1774223100,Down,trade,0.999,5.0,,0.999,,2026-03-23 00:02:02.597
1774224186695,1774224186765,btc-updown-15m-1774223100,Down,book,,,,0.999,,2026-03-23 00:03:06.695
1774224186721,1774224186788,btc-updown-15m-1774223100,Down,trade,0.999,2.03,,0.999,,2026-03-23 00:03:06.721
1774224000455,1774224000545,btc-updown-15m-1774224000,Up,book,,,,0.54,0.55,2026-03-23 00:00:00.455
1774224000490,1774224000560,btc-updown-15m-1774224000,Up,trade,0.55,10.0,,0.54,0.55,2026-03-23 00:00:00.490
1774224000586,1774224000674,btc-updown-15m-1774224000,Up,book,,,,0.54,0.55,2026-03-23 00:00:00.586
1774224000604,1774224000687,btc-updown-15m-1774224000,Up,book,,,,0.54,0.55,2026-03-23 00:00:00.604
1774224000674,1774224000752,btc-updown-15m-1774224000,Up,book,,,,0.54,0.55,2026-03-23 00:00:00.674
1774224000678,1774224000756,btc-updown-15m-1774224000,Up,book,,,,0.54,0.55,2026-03-23 00:00:00.678
1774224000686,1774224000764,btc-updown-15m-1774224000,Up,trade,0.55,10.181817,,0.54,0.55,2026-03-23 00:00:00.686
1774224000706,1774224000783,btc-updown-15m-1774224000,Up,book,,,,0.54,0.55,2026-03-23 00:00:00.706
1774224000743,1774224000827,btc-updown-15m-1774224000,Up,trade,0.55,28.509088,,0.54,0.55,2026-03-23 00:00:00.743
1774224000752,1774224000830,btc-updown-15m-1774224000,Up,trade,0.55,3.636362,,0.54,0.55,2026-03-23 00:00:00.752
1774224000788,1774224000864,btc-updown-15m-1774224000,Up,book,,,,0.54,0.55,2026-03-23 00:00:00.788
1774224000831,1774224000904,btc-updown-15m-1774224000,Up,trade,0.55,6.0,,0.54,0.55,2026-03-23 00:00:00.831
1774224000859,1774224000930,btc-updown-15m-1774224000,Up,trade,0.55,29.01818,,0.54,0.55,2026-03-23 00:00:00.859
1774224000884,1774224000960,btc-updown-15m-1774224000,Up,book,,,,0.54,0.55,2026-03-23 00:00:00.884
1774224000912,1774224000991,btc-updown-15m-1774224000,Up,book,,,,0.54,0.55,2026-03-23 00:00:00.912
1774224001062,1774224001133,btc-updown-15m-1774224000,Up,trade,0.55,10.8,,0.54,0.55,2026-03-23 00:00:01.062
1774224001399,1774224002113,btc-updown-15m-1774224000,Up,book,,,,0.54,0.55,2026-03-23 00:00:01.399
1774224001631,1774224002377,btc-updown-15m-1774224000,Up,book,,,,0.54,0.55,2026-03-23 00:00:01.631
1774224001693,1774224001811,btc-updown-15m-1774224000,Up,trade,0.55,10.0,,0.54,0.55,2026-03-23 00:00:01.693
1774224001913,1774224002695,btc-updown-15m-1774224000,Up,book,,,,0.54,0.55,2026-03-23 00:00:01.913
1774224001955,1774224002113,btc-updown-15m-1774224000,Up,trade,0.55,27.76,,0.54,0.55,2026-03-23 00:00:01.955
1774224002095,1774224002783,btc-updown-15m-1774224000,Up,book,,,,0.54,0.55,2026-03-23 00:00:02.095
1774224002148,1774224002404,btc-updown-15m-1774224000,Up,trade,0.55,40.0,,0.54,0.55,2026-03-23 00:00:02.148
1774224002221,1774224002810,btc-updown-15m-1774224000,Up,book,,,,0.54,0.55,2026-03-23 00:00:02.221
1774224002307,1774224002550,btc-updown-15m-1774224000,Up,trade,0.55,6.0,,0.54,0.55,2026-03-23 00:00:02.307
1774224002371,1774224003010,btc-updown-15m-1774224000,Up,book,,,,0.54,0.55,2026-03-23 00:00:02.371
1774224002398,1774224003048,btc-updown-15m-1774224000,Up,book,,,,0.55,0.56,2026-03-23 00:00:02.398
1774224002410,1774224002676,btc-updown-15m-1774224000,Up,trade,0.55,5.0,,0.54,0.55,2026-03-23 00:00:02.410
1774224002434,1774224002678,btc-updown-15m-1774224000,Up,trade,0.55,108.16,,0.54,0.55,2026-03-23 00:00:02.434
1774224002448,1774224003159,btc-updown-15m-1774224000,Up,book,,,,0.55,0.56,2026-03-23 00:00:02.448
1774224002610,1774224003252,btc-updown-15m-1774224000,Up,book,,,,0.55,0.56,2026-03-23 00:00:02.610
1774224002627,1774224003334,btc-updown-15m-1774224000,Up,book,,,,0.55,0.57,2026-03-23 00:00:02.627
1774224002645,1774224002783,btc-updown-15m-1774224000,Up,trade,0.56,10.0,,0.54,0.55,2026-03-23 00:00:02.645
1774224002677,1774224002799,btc-updown-15m-1774224000,Up,trade,0.56,28.842104,,0.54,0.55,2026-03-23 00:00:02.677
1774224002843,1774224003482,btc-updown-15m-1774224000,Up,book,,,,0.55,0.57,2026-03-23 00:00:02.843
1774224002888,1774224003525,btc-updown-15m-1774224000,Up,book,,,,0.56,0.57,2026-03-23 00:00:02.888
1774224002895,1774224003525,btc-updown-15m-1774224000,Up,book,,,,0.56,0.57,2026-03-23 00:00:02.895
1774224002901,1774224003525,btc-updown-15m-1774224000,Up,book,,,,0.56,0.57,2026-03-23 00:00:02.901
1774224002943,1774224003018,btc-updown-15m-1774224000,Up,trade,0.57,1.754383,,0.54,0.55,2026-03-23 00:00:02.943
1774224003073,1774224003160,btc-updown-15m-1774224000,Up,trade,0.57,3.508769,,0.55,0.56,2026-03-23 00:00:03.073
1774224003277,1774224003914,btc-updown-15m-1774224000,Up,book,,,,0.56,0.57,2026-03-23 00:00:03.277
1774224003387,1774224004018,btc-updown-15m-1774224000,Up,book,,,,0.56,0.57,2026-03-23 00:00:03.387
